phase	workload	samples	median_wall_ms	median_peak_rss_kb	db_bytes
before	cold-build	3	16860	16584	2084864
after	cold-build	3	490	14228	2084864
before	warm-build	3	397	12048	2084864
after	warm-build	3	193	12180	2084864
before	one-file-build	3	446	15648	2105344
after	one-file-build	3	166	15656	2105344
before	ask	5	593	15840	2105344
after	ask	5	176	15820	2105344
before	grep	5	488	10524	2105344
after	grep	5	103	10576	2105344
before	callers	5	168	8848	2105344
after	callers	5	83	8984	2105344
before	status	5	159	8764	2105344
after	status	5	78	8740	2105344
before	mcp-find	5	590	15860	2105344
after	mcp-find	5	172	15980	2105344
before	workspace-cold-build	3	4520	13924	602112
after	workspace-cold-build	3	263	13252	602112
before	workspace-warm-build	3	321	9180	602112
after	workspace-warm-build	3	117	9288	602112
before	workspace-ask	1	282	10196	602112
after	workspace-ask	1	93	10128	602112
